dz, F
1.9662e-07, 3.57202e-13
1.9659e-07, 3.57971e-13
1.9656e-07, 3.58742e-13
1.9653e-07, 3.59514e-13
1.965e-07, 3.60289e-13
1.9647e-07, 3.61066e-13
1.9644e-07, 3.61846e-13
1.9641e-07, 3.62629e-13
1.9638e-07, 3.63414e-13
1.9635e-07, 3.64201e-13
1.9632e-07, 3.64991e-13
1.9629e-07, 3.65782e-13
1.9626e-07, 3.66576e-13
1.9623e-07, 3.67373e-13
1.962e-07, 3.68172e-13
1.9617e-07, 3.68973e-13
1.9614e-07, 3.69775e-13
1.9611e-07, 3.70579e-13
1.9608e-07, 3.71385e-13
1.9605e-07, 3.72194e-13
1.9602e-07, 3.73003e-13
1.9599e-07, 3.73814e-13
1.9596e-07, 3.74627e-13
1.9593e-07, 3.75441e-13
1.959e-07, 3.76259e-13
1.9587e-07, 3.77078e-13
1.9584e-07, 3.77898e-13
1.9581e-07, 3.78719e-13
1.9578e-07, 3.7954e-13
1.9575e-07, 3.80361e-13
1.9572e-07, 3.81182e-13
1.9569e-07, 3.82003e-13
1.9566e-07, 3.82825e-13
1.9563e-07, 3.83647e-13
1.956e-07, 3.84468e-13
1.9557e-07, 3.85288e-13
1.9554e-07, 3.86108e-13
1.9551e-07, 3.8693e-13
1.9548e-07, 3.87752e-13
1.9545e-07, 3.88574e-13
1.9542e-07, 3.89397e-13
1.9539e-07, 3.90219e-13
1.9536e-07, 3.91044e-13
1.9533e-07, 3.91871e-13
1.953e-07, 3.92698e-13
1.9527e-07, 3.93527e-13
1.9524e-07, 3.94356e-13
1.9521e-07, 3.95184e-13
1.9518e-07, 3.96012e-13
1.9515e-07, 3.96842e-13
1.9512e-07, 3.97674e-13
1.9509e-07, 3.98507e-13
1.9506e-07, 3.99341e-13
1.9503e-07, 4.00174e-13
1.95e-07, 4.01006e-13
1.9497e-07, 4.01839e-13
1.9494e-07, 4.02673e-13
1.9491e-07, 4.03507e-13
1.9488e-07, 4.04343e-13
1.9485e-07, 4.05179e-13
1.9482e-07, 4.06014e-13
1.9479e-07, 4.06851e-13
1.9476e-07, 4.07688e-13
1.9473e-07, 4.08525e-13
1.947e-07, 4.09362e-13
1.9467e-07, 4.102e-13
1.9464e-07, 4.11041e-13
1.9461e-07, 4.11882e-13
1.9458e-07, 4.12726e-13
1.9455e-07, 4.1357e-13
1.9452e-07, 4.14416e-13
1.9449e-07, 4.15264e-13
1.9446e-07, 4.16114e-13
1.9443e-07, 4.16968e-13
1.944e-07, 4.17824e-13
1.9437e-07, 4.18681e-13
1.9434e-07, 4.19542e-13
1.9431e-07, 4.20404e-13
1.9428e-07, 4.21268e-13
1.9425e-07, 4.22135e-13
1.9422e-07, 4.23003e-13
1.9419e-07, 4.23874e-13
1.9416e-07, 4.24748e-13
1.9413e-07, 4.25624e-13
1.941e-07, 4.26503e-13
1.9407e-07, 4.27383e-13
1.9404e-07, 4.28265e-13
1.9401e-07, 4.29149e-13
1.9398e-07, 4.30034e-13
1.9395e-07, 4.30922e-13
1.9392e-07, 4.31811e-13
1.9389e-07, 4.32704e-13
1.9386e-07, 4.33599e-13
1.9383e-07, 4.34495e-13
1.938e-07, 4.35393e-13
1.9377e-07, 4.36293e-13
1.9374e-07, 4.37195e-13
1.9371e-07, 4.38099e-13
1.9368e-07, 4.39005e-13
1.9365e-07, 4.39912e-13
1.9362e-07, 4.40821e-13
1.9359e-07, 4.41731e-13
1.9356e-07, 4.42644e-13
1.9353e-07, 4.43561e-13
1.935e-07, 4.44482e-13
1.9347e-07, 4.45407e-13
1.9344e-07, 4.46335e-13
1.9341e-07, 4.47265e-13
1.9338e-07, 4.48198e-13
1.9335e-07, 4.49134e-13
1.9332e-07, 4.50071e-13
1.9329e-07, 4.5101e-13
1.9326e-07, 4.51951e-13
1.9323e-07, 4.52896e-13
1.932e-07, 4.53843e-13
1.9317e-07, 4.54795e-13
1.9314e-07, 4.55751e-13
1.9311e-07, 4.56711e-13
1.9308e-07, 4.57674e-13
1.9305e-07, 4.5864e-13
1.9302e-07, 4.59609e-13
1.9299e-07, 4.60582e-13
1.9296e-07, 4.61557e-13
1.9293e-07, 4.62535e-13
1.929e-07, 4.63517e-13
1.9287e-07, 4.64501e-13
1.9284e-07, 4.6549e-13
1.9281e-07, 4.66479e-13
1.9278e-07, 4.67472e-13
1.9275e-07, 4.6847e-13
1.9272e-07, 4.69472e-13
1.9269e-07, 4.70478e-13
1.9266e-07, 4.71489e-13
1.9263e-07, 4.72503e-13
1.926e-07, 4.73521e-13
1.9257e-07, 4.74543e-13
1.9254e-07, 4.75567e-13
1.9251e-07, 4.76598e-13
1.9248e-07, 4.77633e-13
1.9245e-07, 4.78673e-13
1.9242e-07, 4.79717e-13
1.9239e-07, 4.80765e-13
1.9236e-07, 4.81816e-13
1.9233e-07, 4.8287e-13
1.923e-07, 4.83926e-13
1.9227e-07, 4.84983e-13
1.9224e-07, 4.86044e-13
1.9221e-07, 4.87109e-13
1.9218e-07, 4.88176e-13
1.9215e-07, 4.89247e-13
1.9212e-07, 4.90321e-13
1.9209e-07, 4.91398e-13
1.9206e-07, 4.9248e-13
1.9203e-07, 4.93571e-13
1.92e-07, 4.94665e-13
1.9197e-07, 4.9576e-13
1.9194e-07, 4.96858e-13
1.9191e-07, 4.97959e-13
1.9188e-07, 4.99063e-13
1.9185e-07, 5.00169e-13
1.9182e-07, 5.01278e-13
1.9179e-07, 5.02388e-13
1.9176e-07, 5.035e-13
1.9173e-07, 5.04614e-13
1.917e-07, 5.05732e-13
1.9167e-07, 5.06853e-13
1.9164e-07, 5.07977e-13
1.9161e-07, 5.09103e-13
1.9158e-07, 5.10235e-13
1.9155e-07, 5.11372e-13
1.9152e-07, 5.12518e-13
1.9149e-07, 5.13673e-13
1.9146e-07, 5.14835e-13
1.9143e-07, 5.15998e-13
1.914e-07, 5.17163e-13
1.9137e-07, 5.1833e-13
1.9134e-07, 5.195e-13
1.9131e-07, 5.20672e-13
1.9128e-07, 5.21847e-13
1.9125e-07, 5.23026e-13
1.9122e-07, 5.2421e-13
1.9119e-07, 5.25399e-13
1.9116e-07, 5.26592e-13
1.9113e-07, 5.27788e-13
1.911e-07, 5.28987e-13
1.9107e-07, 5.30189e-13
1.9104e-07, 5.31393e-13
1.9101e-07, 5.32602e-13
1.9098e-07, 5.33814e-13
1.9095e-07, 5.35029e-13
1.9092e-07, 5.36249e-13
1.9089e-07, 5.37472e-13
1.9086e-07, 5.38699e-13
1.9083e-07, 5.39929e-13
1.908e-07, 5.41163e-13
1.9077e-07, 5.42401e-13
1.9074e-07, 5.43643e-13
1.9071e-07, 5.44893e-13
1.9068e-07, 5.46153e-13
1.9065e-07, 5.47422e-13
1.9062e-07, 5.48701e-13
1.9059e-07, 5.49988e-13
1.9056e-07, 5.51283e-13
1.9053e-07, 5.52584e-13
1.905e-07, 5.5389e-13
1.9047e-07, 5.55201e-13
1.9044e-07, 5.56518e-13
1.9041e-07, 5.57839e-13
1.9038e-07, 5.59163e-13
1.9035e-07, 5.60488e-13
1.9032e-07, 5.61816e-13
1.9029e-07, 5.63147e-13
1.9026e-07, 5.64481e-13
1.9023e-07, 5.65818e-13
1.902e-07, 5.67158e-13
1.9017e-07, 5.68502e-13
1.9014e-07, 5.69848e-13
1.9011e-07, 5.71198e-13
1.9008e-07, 5.7255e-13
1.9005e-07, 5.73906e-13
1.9002e-07, 5.75265e-13
1.8999e-07, 5.76628e-13
1.8996e-07, 5.77994e-13
1.8993e-07, 5.79363e-13
1.899e-07, 5.80739e-13
1.8987e-07, 5.82125e-13
1.8984e-07, 5.8352e-13
1.8981e-07, 5.8492e-13
1.8978e-07, 5.86324e-13
1.8975e-07, 5.87735e-13
1.8972e-07, 5.89154e-13
1.8969e-07, 5.90582e-13
1.8966e-07, 5.92017e-13
1.8963e-07, 5.93459e-13
1.896e-07, 5.94908e-13
1.8957e-07, 5.96365e-13
1.8954e-07, 5.9783e-13
1.8951e-07, 5.99303e-13
1.8948e-07, 6.00785e-13
1.8945e-07, 6.02275e-13
1.8942e-07, 6.03774e-13
1.8939e-07, 6.05281e-13
1.8936e-07, 6.06799e-13
1.8933e-07, 6.08325e-13
1.893e-07, 6.09862e-13
1.8927e-07, 6.11407e-13
1.8924e-07, 6.12959e-13
1.8921e-07, 6.14521e-13
1.8918e-07, 6.16088e-13
1.8915e-07, 6.17659e-13
1.8912e-07, 6.19241e-13
1.8909e-07, 6.20831e-13
1.8906e-07, 6.22431e-13
1.8903e-07, 6.24039e-13
1.89e-07, 6.25657e-13
1.8897e-07, 6.27281e-13
1.8894e-07, 6.28912e-13
1.8891e-07, 6.30549e-13
1.8888e-07, 6.32194e-13
1.8885e-07, 6.33844e-13
1.8882e-07, 6.35501e-13
1.8879e-07, 6.37163e-13
1.8876e-07, 6.38829e-13
1.8873e-07, 6.40499e-13
1.887e-07, 6.42174e-13
1.8867e-07, 6.43855e-13
1.8864e-07, 6.45539e-13
1.8861e-07, 6.47227e-13
1.8858e-07, 6.48919e-13
1.8855e-07, 6.50616e-13
1.8852e-07, 6.52318e-13
1.8849e-07, 6.54027e-13
1.8846e-07, 6.55739e-13
1.8843e-07, 6.57457e-13
1.884e-07, 6.59179e-13
1.8837e-07, 6.60907e-13
1.8834e-07, 6.62642e-13
1.8831e-07, 6.6438e-13
1.8828e-07, 6.66122e-13
1.8825e-07, 6.6787e-13
1.8822e-07, 6.69622e-13
1.8819e-07, 6.71379e-13
1.8816e-07, 6.73142e-13
1.8813e-07, 6.7491e-13
1.881e-07, 6.76683e-13
1.8807e-07, 6.78462e-13
1.8804e-07, 6.80245e-13
1.8801e-07, 6.82032e-13
1.8798e-07, 6.83822e-13
1.8795e-07, 6.85615e-13
1.8792e-07, 6.87413e-13
1.8789e-07, 6.89219e-13
1.8786e-07, 6.91032e-13
1.8783e-07, 6.9285e-13
1.878e-07, 6.94671e-13
1.8777e-07, 6.96498e-13
1.8774e-07, 6.98331e-13
