dz, F
1.64842e-07, 2.13151e-10
1.64901e-07, 2.14286e-10
1.64961e-07, 2.15408e-10
1.65021e-07, 2.16515e-10
1.65082e-07, 2.17607e-10
1.65142e-07, 2.18685e-10
1.65203e-07, 2.19749e-10
1.65265e-07, 2.20798e-10
1.65326e-07, 2.21832e-10
1.65388e-07, 2.22852e-10
1.6545e-07, 2.23858e-10
1.65513e-07, 2.24849e-10
1.65575e-07, 2.25827e-10
1.65638e-07, 2.26793e-10
1.65702e-07, 2.27744e-10
1.65765e-07, 2.28683e-10
1.65829e-07, 2.29608e-10
1.65893e-07, 2.30516e-10
1.65957e-07, 2.31413e-10
1.66022e-07, 2.323e-10
1.66087e-07, 2.3318e-10
1.66152e-07, 2.34053e-10
1.66217e-07, 2.34917e-10
1.66283e-07, 2.35773e-10
1.66349e-07, 2.36621e-10
1.66415e-07, 2.37463e-10
1.66481e-07, 2.38296e-10
1.66548e-07, 2.3912e-10
1.66615e-07, 2.39933e-10
1.66682e-07, 2.40731e-10
1.66749e-07, 2.41517e-10
1.66817e-07, 2.42286e-10
1.66885e-07, 2.43044e-10
1.66953e-07, 2.43792e-10
1.67021e-07, 2.4453e-10
1.67089e-07, 2.45261e-10
1.67158e-07, 2.45984e-10
1.67227e-07, 2.46699e-10
1.67296e-07, 2.47407e-10
1.67366e-07, 2.48108e-10
1.67435e-07, 2.48797e-10
1.67505e-07, 2.49477e-10
1.67575e-07, 2.50148e-10
1.67645e-07, 2.5081e-10
1.67716e-07, 2.51462e-10
1.67787e-07, 2.52103e-10
1.67857e-07, 2.52734e-10
1.67929e-07, 2.53356e-10
1.68e-07, 2.53971e-10
1.68071e-07, 2.54577e-10
1.68143e-07, 2.55176e-10
1.68215e-07, 2.55768e-10
1.68287e-07, 2.56353e-10
1.68359e-07, 2.56931e-10
1.68432e-07, 2.57499e-10
1.68504e-07, 2.58057e-10
1.68577e-07, 2.58612e-10
1.6865e-07, 2.5916e-10
1.68723e-07, 2.59699e-10
1.68797e-07, 2.6023e-10
1.6887e-07, 2.6075e-10
1.68944e-07, 2.61262e-10
1.69018e-07, 2.6177e-10
1.69092e-07, 2.62273e-10
1.69166e-07, 2.6277e-10
1.69241e-07, 2.6326e-10
