dz, F
1.47227e-07, 8.08901e-12
1.47165e-07, 5.63963e-12
1.47102e-07, 3.04206e-12
1.47041e-07, 3.191e-13
1.46979e-07, -2.52023e-12
1.46918e-07, -5.46409e-12
1.46857e-07, -8.51427e-12
1.46796e-07, -1.16619e-11
1.46736e-07, -1.49022e-11
1.46675e-07, -1.82285e-11
1.46616e-07, -2.16359e-11
1.46556e-07, -2.5118e-11
1.46497e-07, -2.86613e-11
1.46438e-07, -3.22587e-11
1.46379e-07, -3.59051e-11
1.46321e-07, -3.96081e-11
1.46263e-07, -4.33569e-11
1.46206e-07, -4.71341e-11
1.46148e-07, -5.09313e-11
1.46091e-07, -5.47424e-11
1.46035e-07, -5.85673e-11
1.45978e-07, -6.23944e-11
1.45922e-07, -6.62148e-11
1.45866e-07, -7.00367e-11
1.45811e-07, -7.38538e-11
1.45756e-07, -7.76623e-11
1.45701e-07, -8.14461e-11
1.45647e-07, -8.52142e-11
1.45593e-07, -8.89582e-11
1.45539e-07, -9.26717e-11
1.45486e-07, -9.63655e-11
1.45433e-07, -1.00018e-10
1.45381e-07, -1.03635e-10
1.45328e-07, -1.07217e-10
1.45277e-07, -1.10765e-10
1.45225e-07, -1.14272e-10
1.45174e-07, -1.17748e-10
1.45123e-07, -1.21193e-10
1.45073e-07, -1.24598e-10
1.45023e-07, -1.27962e-10
1.44973e-07, -1.31283e-10
1.44924e-07, -1.34554e-10
1.44875e-07, -1.37777e-10
1.44826e-07, -1.40961e-10
1.44778e-07, -1.44093e-10
1.4473e-07, -1.47164e-10
1.44683e-07, -1.50176e-10
1.44636e-07, -1.53124e-10
1.44589e-07, -1.56013e-10
1.44543e-07, -1.58846e-10
1.44497e-07, -1.61614e-10
1.44452e-07, -1.64324e-10
1.44407e-07, -1.66964e-10
1.44363e-07, -1.69539e-10
1.44318e-07, -1.72062e-10
1.44275e-07, -1.74524e-10
1.44231e-07, -1.76905e-10
1.44188e-07, -1.79213e-10
1.44146e-07, -1.81466e-10
1.44104e-07, -1.83661e-10
1.44062e-07, -1.85793e-10
1.44021e-07, -1.87853e-10
