dz, F
1.50438e-07, 8.02988e-12
1.50401e-07, 8.1037e-12
1.50365e-07, 8.17858e-12
1.50328e-07, 8.25446e-12
1.50292e-07, 8.33146e-12
1.50255e-07, 8.40974e-12
1.50219e-07, 8.48922e-12
1.50182e-07, 8.57007e-12
1.50146e-07, 8.65229e-12
1.5011e-07, 8.7358e-12
1.50074e-07, 8.82064e-12
1.50037e-07, 8.90697e-12
1.50001e-07, 8.99466e-12
1.49965e-07, 9.084e-12
1.49929e-07, 9.17494e-12
1.49893e-07, 9.26742e-12
1.49857e-07, 9.36155e-12
1.49822e-07, 9.45747e-12
1.49786e-07, 9.55516e-12
1.4975e-07, 9.65461e-12
1.49714e-07, 9.75577e-12
1.49679e-07, 9.85869e-12
1.49643e-07, 9.96355e-12
1.49607e-07, 1.00705e-11
1.49572e-07, 1.01797e-11
1.49536e-07, 1.02913e-11
1.49501e-07, 1.0405e-11
1.49466e-07, 1.0521e-11
1.4943e-07, 1.06393e-11
1.49395e-07, 1.076e-11
1.4936e-07, 1.08835e-11
1.49325e-07, 1.10098e-11
1.4929e-07, 1.11388e-11
1.49255e-07, 1.12708e-11
1.4922e-07, 1.14058e-11
1.49185e-07, 1.15445e-11
1.4915e-07, 1.16868e-11
1.49115e-07, 1.18327e-11
1.4908e-07, 1.19822e-11
1.49045e-07, 1.21355e-11
1.49011e-07, 1.22932e-11
1.48976e-07, 1.24553e-11
1.48942e-07, 1.26224e-11
1.48907e-07, 1.27945e-11
1.48873e-07, 1.29716e-11
1.48838e-07, 1.3154e-11
1.48804e-07, 1.33426e-11
1.4877e-07, 1.35376e-11
1.48735e-07, 1.37396e-11
1.48701e-07, 1.39492e-11
1.48667e-07, 1.4167e-11
1.48633e-07, 1.43948e-11
1.48599e-07, 1.46327e-11
1.48565e-07, 1.48806e-11
1.48531e-07, 1.51399e-11
1.48497e-07, 1.54113e-11
1.48464e-07, 1.56964e-11
1.4843e-07, 1.59971e-11
1.48396e-07, 1.63153e-11
1.48363e-07, 1.66533e-11
1.48329e-07, 1.70142e-11
1.48296e-07, 1.74018e-11
1.48262e-07, 1.78163e-11
1.48229e-07, 1.82567e-11
1.48196e-07, 1.87224e-11
1.48162e-07, 1.92123e-11
1.48129e-07, 1.97257e-11
1.48096e-07, 2.02631e-11
1.48063e-07, 2.08237e-11
1.4803e-07, 2.14067e-11
1.47997e-07, 2.20112e-11
1.47964e-07, 2.26371e-11
1.47932e-07, 2.29238e-11
1.47899e-07, 2.2855e-11
1.47866e-07, 2.27811e-11
1.47834e-07, 2.26012e-11
1.47801e-07, 2.23643e-11
1.47769e-07, 2.2061e-11
1.47736e-07, 2.16808e-11
1.47704e-07, 2.12296e-11
1.47672e-07, 2.07108e-11
1.47639e-07, 2.01325e-11
1.47607e-07, 1.94942e-11
1.47575e-07, 1.87911e-11
1.47543e-07, 1.80246e-11
1.47511e-07, 1.72034e-11
1.47479e-07, 1.63232e-11
1.47448e-07, 1.53877e-11
1.47416e-07, 1.43971e-11
1.47384e-07, 1.33534e-11
1.47353e-07, 1.22622e-11
1.47321e-07, 1.11272e-11
1.4729e-07, 9.94812e-12
1.47258e-07, 8.7246e-12
1.47227e-07, 7.45812e-12
1.47196e-07, 6.14769e-12
1.47165e-07, 4.8021e-12
1.47133e-07, 3.41783e-12
1.47102e-07, 1.9981e-12
1.47071e-07, 5.44296e-13
1.47041e-07, -9.47497e-13
1.4701e-07, -2.47189e-12
1.46979e-07, -4.02788e-12
1.46948e-07, -5.61595e-12
1.46918e-07, -7.23302e-12
1.46887e-07, -8.87537e-12
1.46857e-07, -1.05439e-11
1.46826e-07, -1.2238e-11
1.46796e-07, -1.39549e-11
1.46766e-07, -1.56969e-11
1.46736e-07, -1.7458e-11
1.46705e-07, -1.9239e-11
1.46675e-07, -2.10372e-11
1.46645e-07, -2.28473e-11
1.46616e-07, -2.4679e-11
1.46586e-07, -2.6529e-11
1.46556e-07, -2.83947e-11
1.46526e-07, -3.02732e-11
1.46497e-07, -3.21686e-11
1.46467e-07, -3.40817e-11
1.46438e-07, -3.60091e-11
1.46409e-07, -3.7946e-11
1.46379e-07, -3.98961e-11
1.4635e-07, -4.18562e-11
1.46321e-07, -4.3826e-11
1.46292e-07, -4.58014e-11
1.46263e-07, -4.77867e-11
1.46234e-07, -4.97816e-11
1.46206e-07, -5.17838e-11
1.46177e-07, -5.37885e-11
1.46148e-07, -5.57945e-11
1.4612e-07, -5.78091e-11
1.46091e-07, -5.9826e-11
1.46063e-07, -6.18433e-11
1.46035e-07, -6.38629e-11
1.46006e-07, -6.5884e-11
1.45978e-07, -6.79051e-11
1.4595e-07, -6.99257e-11
1.45922e-07, -7.19445e-11
1.45894e-07, -7.39593e-11
1.45866e-07, -7.59699e-11
1.45839e-07, -7.79782e-11
1.45811e-07, -7.99804e-11
1.45784e-07, -8.19821e-11
1.45756e-07, -8.39811e-11
1.45729e-07, -8.59731e-11
1.45701e-07, -8.79574e-11
1.45674e-07, -8.99379e-11
1.45647e-07, -9.19094e-11
1.4562e-07, -9.38706e-11
1.45593e-07, -9.58225e-11
1.45566e-07, -9.77686e-11
1.45539e-07, -9.97073e-11
1.45513e-07, -1.01635e-10
1.45486e-07, -1.03552e-10
1.4546e-07, -1.05456e-10
1.45433e-07, -1.07348e-10
1.45407e-07, -1.09227e-10
1.45381e-07, -1.11097e-10
1.45354e-07, -1.12956e-10
1.45328e-07, -1.14803e-10
1.45302e-07, -1.16637e-10
1.45277e-07, -1.18459e-10
1.45251e-07, -1.20273e-10
1.45225e-07, -1.22076e-10
1.45199e-07, -1.23868e-10
1.45174e-07, -1.25647e-10
1.45148e-07, -1.27411e-10
1.45123e-07, -1.29161e-10
1.45098e-07, -1.30903e-10
1.45073e-07, -1.3263e-10
1.45048e-07, -1.34342e-10
1.45023e-07, -1.36039e-10
1.44998e-07, -1.37723e-10
1.44973e-07, -1.39392e-10
1.44948e-07, -1.41048e-10
1.44924e-07, -1.42696e-10
1.44899e-07, -1.44332e-10
1.44875e-07, -1.45955e-10
1.4485e-07, -1.47563e-10
1.44826e-07, -1.49154e-10
1.44802e-07, -1.5073e-10
1.44778e-07, -1.52295e-10
1.44754e-07, -1.53845e-10
1.4473e-07, -1.55378e-10
1.44707e-07, -1.56894e-10
1.44683e-07, -1.58395e-10
1.44659e-07, -1.59883e-10
1.44636e-07, -1.61356e-10
1.44613e-07, -1.62816e-10
1.44589e-07, -1.6426e-10
1.44566e-07, -1.65686e-10
1.44543e-07, -1.671e-10
1.4452e-07, -1.68498e-10
1.44497e-07, -1.69879e-10
1.44475e-07, -1.71239e-10
1.44452e-07, -1.72585e-10
